"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.04.2021 04:45 - 01.04.2021 05:00","56557","58213"
"01.04.2021 05:00 - 01.04.2021 05:15","58188","59826"
"01.04.2021 05:15 - 01.04.2021 05:30","59385","60738"
"01.04.2021 05:30 - 01.04.2021 05:45","60118","61520"
"01.04.2021 05:45 - 01.04.2021 06:00","60649","62577"
"01.04.2021 06:00 - 01.04.2021 06:15","61479","63442"
"01.04.2021 06:15 - 01.04.2021 06:30","61923","64074"
"01.04.2021 06:30 - 01.04.2021 06:45","62386","64688"
"01.04.2021 06:45 - 01.04.2021 07:00","62895","64999"
"01.04.2021 07:00 - 01.04.2021 07:15","62365","64681"
"01.04.2021 07:15 - 01.04.2021 07:30","62733","65021"
"01.04.2021 07:30 - 01.04.2021 07:45","63265","65409"
"01.04.2021 07:45 - 01.04.2021 08:00","63410","66114"
"01.04.2021 08:00 - 01.04.2021 08:15","63203","66188"
"01.04.2021 08:15 - 01.04.2021 08:30","63629","66450"
"01.04.2021 08:30 - 01.04.2021 08:45","63817","66711"
"01.04.2021 08:45 - 01.04.2021 09:00","64126","66749"
"01.04.2021 09:00 - 01.04.2021 09:15","64716","67153"
"01.04.2021 09:15 - 01.04.2021 09:30","65161","67436"
"01.04.2021 09:30 - 01.04.2021 09:45","65294","67860"
"01.04.2021 09:45 - 01.04.2021 10:00","65752","67712"
"01.04.2021 10:00 - 01.04.2021 10:15","65461","67120"
"01.04.2021 10:15 - 01.04.2021 10:30","65181","67016"
"01.04.2021 10:30 - 01.04.2021 10:45","64996","67204"
"01.04.2021 10:45 - 01.04.2021 11:00","65276","66653"
"01.04.2021 11:00 - 01.04.2021 11:15","64672","66273"
"01.04.2021 11:15 - 01.04.2021 11:30","64298","65749"
"01.04.2021 11:30 - 01.04.2021 11:45","63543","65228"
"01.04.2021 11:45 - 01.04.2021 12:00","62850","64982"
"01.04.2021 12:00 - 01.04.2021 12:15","62618","64639"
"01.04.2021 12:15 - 01.04.2021 12:30","62291","64428"
"01.04.2021 12:30 - 01.04.2021 12:45","62347","64206"
"01.04.2021 12:45 - 01.04.2021 13:00","62406","63488"
"01.04.2021 13:00 - 01.04.2021 13:15","62039","63351"
"01.04.2021 13:15 - 01.04.2021 13:30","61558","63219"
"01.04.2021 13:30 - 01.04.2021 13:45","61280","62366"
"01.04.2021 13:45 - 01.04.2021 14:00","60883","62048"
"01.04.2021 14:00 - 01.04.2021 14:15","60820","62240"
"01.04.2021 14:15 - 01.04.2021 14:30","60212","61963"
"01.04.2021 14:30 - 01.04.2021 14:45","59945","61424"
"01.04.2021 14:45 - 01.04.2021 15:00","59720","61427"
"01.04.2021 15:00 - 01.04.2021 15:15","59910","61690"
"01.04.2021 15:15 - 01.04.2021 15:30","59860","61860"
"01.04.2021 15:30 - 01.04.2021 15:45","59944","61874"
"01.04.2021 15:45 - 01.04.2021 16:00","60177","61512"
"01.04.2021 16:00 - 01.04.2021 16:15","60259","61616"
"01.04.2021 16:15 - 01.04.2021 16:30","60610","61587"
"01.04.2021 16:30 - 01.04.2021 16:45","60705","61599"
"01.04.2021 16:45 - 01.04.2021 17:00","60849","61899"
"01.04.2021 17:00 - 01.04.2021 17:15","61205","61936"
"01.04.2021 17:15 - 01.04.2021 17:30","61263","61535"
"01.04.2021 17:30 - 01.04.2021 17:45","61435","61529"
"01.04.2021 17:45 - 01.04.2021 18:00","61440","61456"
"01.04.2021 18:00 - 01.04.2021 18:15","60672","61424"
"01.04.2021 18:15 - 01.04.2021 18:30","59881","61105"
"01.04.2021 18:30 - 01.04.2021 18:45","59057","60769"
"01.04.2021 18:45 - 01.04.2021 19:00","58563","60058"
"01.04.2021 19:00 - 01.04.2021 19:15","57565","58956"
"01.04.2021 19:15 - 01.04.2021 19:30","56795","58030"
"01.04.2021 19:30 - 01.04.2021 19:45","55787","56757"
"01.04.2021 19:45 - 01.04.2021 20:00","55315","55840"
"01.04.2021 20:00 - 01.04.2021 20:15","55199","55233"
"01.04.2021 20:15 - 01.04.2021 20:30","54480","54267"
"01.04.2021 20:30 - 01.04.2021 20:45","53698","53143"
"01.04.2021 20:45 - 01.04.2021 21:00","52629","52197"
"01.04.2021 21:00 - 01.04.2021 21:15","51587","50983"
"01.04.2021 21:15 - 01.04.2021 21:30","50419","50020"
"01.04.2021 21:30 - 01.04.2021 21:45","49655","49197"
"01.04.2021 21:45 - 01.04.2021 22:00","49065","48301"
"01.04.2021 22:00 - 01.04.2021 22:15","43123","47094"
"01.04.2021 22:15 - 01.04.2021 22:30","42831","46143"
"01.04.2021 22:30 - 01.04.2021 22:45","42439","45826"
"01.04.2021 22:45 - 01.04.2021 23:00","42112","45250"
"01.04.2021 23:00 - 01.04.2021 23:15","41599","44741"
"01.04.2021 23:15 - 01.04.2021 23:30","41018","43979"
"01.04.2021 23:30 - 01.04.2021 23:45","40739","43841"
"01.04.2021 23:45 - 02.04.2021 00:00","40235","43625"
"02.04.2021 00:00 - 02.04.2021 00:15","40164","42910"
"02.04.2021 00:15 - 02.04.2021 00:30","40295","42866"
"02.04.2021 00:30 - 02.04.2021 00:45","40102","42674"
"02.04.2021 00:45 - 02.04.2021 01:00","40193","42638"
"02.04.2021 01:00 - 02.04.2021 01:15","39938","42395"
"02.04.2021 01:15 - 02.04.2021 01:30","40042","42464"
"02.04.2021 01:30 - 02.04.2021 01:45","40113","42548"
"02.04.2021 01:45 - 02.04.2021 02:00","40153","42523"
"02.04.2021 02:00 - 02.04.2021 02:15","40062","42808"
"02.04.2021 02:15 - 02.04.2021 02:30","40232","42706"
"02.04.2021 02:30 - 02.04.2021 02:45","40016","42816"
"02.04.2021 02:45 - 02.04.2021 03:00","40578","42621"
"02.04.2021 03:00 - 02.04.2021 03:15","40838","42390"
"02.04.2021 03:15 - 02.04.2021 03:30","40315","42342"
"02.04.2021 03:30 - 02.04.2021 03:45","40388","42199"
"02.04.2021 03:45 - 02.04.2021 04:00","40082","41917"
"02.04.2021 04:00 - 02.04.2021 04:15","40181","42293"
"02.04.2021 04:15 - 02.04.2021 04:30","40535","42535"
"02.04.2021 04:30 - 02.04.2021 04:45","40531","42503"
"02.04.2021 04:45 - 02.04.2021 05:00","40723","42398"
"02.04.2021 05:00 - 02.04.2021 05:15","41171","42834"
"02.04.2021 05:15 - 02.04.2021 05:30","41860","43337"
"02.04.2021 05:30 - 02.04.2021 05:45","42083","44143"
"02.04.2021 05:45 - 02.04.2021 06:00","42354","44902"
"02.04.2021 06:00 - 02.04.2021 06:15","43255","46025"
"02.04.2021 06:15 - 02.04.2021 06:30","43753","46746"
"02.04.2021 06:30 - 02.04.2021 06:45","44491","47851"
"02.04.2021 06:45 - 02.04.2021 07:00","45486","48724"
"02.04.2021 07:00 - 02.04.2021 07:15","45724","49601"
"02.04.2021 07:15 - 02.04.2021 07:30","46696","50642"
"02.04.2021 07:30 - 02.04.2021 07:45","47427","51423"
"02.04.2021 07:45 - 02.04.2021 08:00","47848","52345"
"02.04.2021 08:00 - 02.04.2021 08:15","48272","53126"
"02.04.2021 08:15 - 02.04.2021 08:30","49158","53885"
"02.04.2021 08:30 - 02.04.2021 08:45","49336","54441"
"02.04.2021 08:45 - 02.04.2021 09:00","50156","54984"
"02.04.2021 09:00 - 02.04.2021 09:15","50910","54996"
"02.04.2021 09:15 - 02.04.2021 09:30","51367","55937"
"02.04.2021 09:30 - 02.04.2021 09:45","51694","56378"
"02.04.2021 09:45 - 02.04.2021 10:00","52013","56533"
"02.04.2021 10:00 - 02.04.2021 10:15","51855","56206"
"02.04.2021 10:15 - 02.04.2021 10:30","51769","56047"
"02.04.2021 10:30 - 02.04.2021 10:45","51327","56297"
"02.04.2021 10:45 - 02.04.2021 11:00","51449","55671"
"02.04.2021 11:00 - 02.04.2021 11:15","50264","55467"
"02.04.2021 11:15 - 02.04.2021 11:30","49756","54471"
"02.04.2021 11:30 - 02.04.2021 11:45","49050","53699"
"02.04.2021 11:45 - 02.04.2021 12:00","48562","53017"
"02.04.2021 12:00 - 02.04.2021 12:15","47980","52695"
"02.04.2021 12:15 - 02.04.2021 12:30","47528","52236"
"02.04.2021 12:30 - 02.04.2021 12:45","47429","52071"
"02.04.2021 12:45 - 02.04.2021 13:00","47561","51774"
"02.04.2021 13:00 - 02.04.2021 13:15","47159","51704"
"02.04.2021 13:15 - 02.04.2021 13:30","46867","51531"
"02.04.2021 13:30 - 02.04.2021 13:45","46978","51126"
"02.04.2021 13:45 - 02.04.2021 14:00","47033","50924"
"02.04.2021 14:00 - 02.04.2021 14:15","47009","50759"
"02.04.2021 14:15 - 02.04.2021 14:30","46727","50798"
"02.04.2021 14:30 - 02.04.2021 14:45","46671","50636"
"02.04.2021 14:45 - 02.04.2021 15:00","46734","50658"
"02.04.2021 15:00 - 02.04.2021 15:15","47063","51056"
"02.04.2021 15:15 - 02.04.2021 15:30","47331","51298"
"02.04.2021 15:30 - 02.04.2021 15:45","47606","51395"
"02.04.2021 15:45 - 02.04.2021 16:00","48056","51730"
"02.04.2021 16:00 - 02.04.2021 16:15","48944","52557"
"02.04.2021 16:15 - 02.04.2021 16:30","49334","52919"
"02.04.2021 16:30 - 02.04.2021 16:45","49899","52995"
"02.04.2021 16:45 - 02.04.2021 17:00","50054","53313"
"02.04.2021 17:00 - 02.04.2021 17:15","50661","53863"
"02.04.2021 17:15 - 02.04.2021 17:30","50211","53717"
"02.04.2021 17:30 - 02.04.2021 17:45","50705","53669"
"02.04.2021 17:45 - 02.04.2021 18:00","50549","53511"
"02.04.2021 18:00 - 02.04.2021 18:15","50026","53651"
"02.04.2021 18:15 - 02.04.2021 18:30","49439","53839"
"02.04.2021 18:30 - 02.04.2021 18:45","49456","53144"
"02.04.2021 18:45 - 02.04.2021 19:00","49290","52441"
"02.04.2021 19:00 - 02.04.2021 19:15","48392","51739"
"02.04.2021 19:15 - 02.04.2021 19:30","48168","51128"
"02.04.2021 19:30 - 02.04.2021 19:45","47855","50786"
"02.04.2021 19:45 - 02.04.2021 20:00","47847","50578"
"02.04.2021 20:00 - 02.04.2021 20:15","47789","50425"
"02.04.2021 20:15 - 02.04.2021 20:30","47204","49977"
"02.04.2021 20:30 - 02.04.2021 20:45","47043","49233"
"02.04.2021 20:45 - 02.04.2021 21:00","46157","48676"
"02.04.2021 21:00 - 02.04.2021 21:15","45709","47606"
"02.04.2021 21:15 - 02.04.2021 21:30","44945","46977"
"02.04.2021 21:30 - 02.04.2021 21:45","44296","46147"
"02.04.2021 21:45 - 02.04.2021 22:00","43656","45635"
"02.04.2021 22:00 - 02.04.2021 22:15","44121","44983"
"02.04.2021 22:15 - 02.04.2021 22:30","43263","44717"
"02.04.2021 22:30 - 02.04.2021 22:45","42797","44292"
"02.04.2021 22:45 - 02.04.2021 23:00","42384","43792"
"02.04.2021 23:00 - 02.04.2021 23:15","41815","43001"
"02.04.2021 23:15 - 02.04.2021 23:30","41479","42613"
"02.04.2021 23:30 - 02.04.2021 23:45","41152","42278"
"02.04.2021 23:45 - 03.04.2021 00:00","40804","41802"
"03.04.2021 00:00 - 03.04.2021 00:15","40685","41727"
"03.04.2021 00:15 - 03.04.2021 00:30","40600","41475"
"03.04.2021 00:30 - 03.04.2021 00:45","40514","41293"
"03.04.2021 00:45 - 03.04.2021 01:00","40337","41215"
"03.04.2021 01:00 - 03.04.2021 01:15","40540","41339"
"03.04.2021 01:15 - 03.04.2021 01:30","40565","41388"
"03.04.2021 01:30 - 03.04.2021 01:45","40578","41780"
"03.04.2021 01:45 - 03.04.2021 02:00","40568","41772"
"03.04.2021 02:00 - 03.04.2021 02:15","40831","41911"
"03.04.2021 02:15 - 03.04.2021 02:30","40827","41769"
"03.04.2021 02:30 - 03.04.2021 02:45","41056","42004"
"03.04.2021 02:45 - 03.04.2021 03:00","41405","42414"
"03.04.2021 03:00 - 03.04.2021 03:15","42148","42829"
"03.04.2021 03:15 - 03.04.2021 03:30","42297","42975"
"03.04.2021 03:30 - 03.04.2021 03:45","42535","43220"
"03.04.2021 03:45 - 03.04.2021 04:00","43357","43447"
"03.04.2021 04:00 - 03.04.2021 04:15","44075","43958"
"03.04.2021 04:15 - 03.04.2021 04:30","44600","44453"
"03.04.2021 04:30 - 03.04.2021 04:45","44919","44562"
"03.04.2021 04:45 - 03.04.2021 05:00","46043","44741"
"03.04.2021 05:00 - 03.04.2021 05:15","46832","45345"
"03.04.2021 05:15 - 03.04.2021 05:30","46661","45984"
"03.04.2021 05:30 - 03.04.2021 05:45","47135","46636"
"03.04.2021 05:45 - 03.04.2021 06:00","47991","47489"
"03.04.2021 06:00 - 03.04.2021 06:15","49010","48354"
"03.04.2021 06:15 - 03.04.2021 06:30","49898","49234"
"03.04.2021 06:30 - 03.04.2021 06:45","50192","50135"
"03.04.2021 06:45 - 03.04.2021 07:00","51012","50955"
"03.04.2021 07:00 - 03.04.2021 07:15","51914","51598"
"03.04.2021 07:15 - 03.04.2021 07:30","52730","52131"
"03.04.2021 07:30 - 03.04.2021 07:45","53282","52777"
"03.04.2021 07:45 - 03.04.2021 08:00","54218","53269"
"03.04.2021 08:00 - 03.04.2021 08:15","54136","53985"
"03.04.2021 08:15 - 03.04.2021 08:30","54288","54510"
"03.04.2021 08:30 - 03.04.2021 08:45","54972","54934"
"03.04.2021 08:45 - 03.04.2021 09:00","55747","55175"
"03.04.2021 09:00 - 03.04.2021 09:15","56032","55612"
"03.04.2021 09:15 - 03.04.2021 09:30","56517","55740"
"03.04.2021 09:30 - 03.04.2021 09:45","56522","56173"
"03.04.2021 09:45 - 03.04.2021 10:00","56602","56023"
"03.04.2021 10:00 - 03.04.2021 10:15","56056","55948"
"03.04.2021 10:15 - 03.04.2021 10:30","56106","55752"
"03.04.2021 10:30 - 03.04.2021 10:45","55847","55327"
"03.04.2021 10:45 - 03.04.2021 11:00","55403","54990"
"03.04.2021 11:00 - 03.04.2021 11:15","54461","54853"
"03.04.2021 11:15 - 03.04.2021 11:30","54327","53952"
"03.04.2021 11:30 - 03.04.2021 11:45","53884","54155"
"03.04.2021 11:45 - 03.04.2021 12:00","53051","53191"
"03.04.2021 12:00 - 03.04.2021 12:15","52621","52501"
"03.04.2021 12:15 - 03.04.2021 12:30","52096","52492"
"03.04.2021 12:30 - 03.04.2021 12:45","51704","52316"
"03.04.2021 12:45 - 03.04.2021 13:00","51783","52080"
"03.04.2021 13:00 - 03.04.2021 13:15","51463","52159"
"03.04.2021 13:15 - 03.04.2021 13:30","51020","52135"
"03.04.2021 13:30 - 03.04.2021 13:45","51157","51807"
"03.04.2021 13:45 - 03.04.2021 14:00","50854","51362"
"03.04.2021 14:00 - 03.04.2021 14:15","50769","51353"
"03.04.2021 14:15 - 03.04.2021 14:30","50416","51319"
"03.04.2021 14:30 - 03.04.2021 14:45","50244","51245"
"03.04.2021 14:45 - 03.04.2021 15:00","50152","50958"
"03.04.2021 15:00 - 03.04.2021 15:15","50815","51858"
"03.04.2021 15:15 - 03.04.2021 15:30","50853","51820"
"03.04.2021 15:30 - 03.04.2021 15:45","51207","52235"
"03.04.2021 15:45 - 03.04.2021 16:00","51583","52057"
"03.04.2021 16:00 - 03.04.2021 16:15","52215","53074"
"03.04.2021 16:15 - 03.04.2021 16:30","52473","52823"
"03.04.2021 16:30 - 03.04.2021 16:45","52596","52739"
"03.04.2021 16:45 - 03.04.2021 17:00","52873","52903"
"03.04.2021 17:00 - 03.04.2021 17:15","53303","53373"
"03.04.2021 17:15 - 03.04.2021 17:30","52891","52807"
"03.04.2021 17:30 - 03.04.2021 17:45","52800","52864"
"03.04.2021 17:45 - 03.04.2021 18:00","52463","52782"
"03.04.2021 18:00 - 03.04.2021 18:15","51734","53162"
"03.04.2021 18:15 - 03.04.2021 18:30","50739","52939"
"03.04.2021 18:30 - 03.04.2021 18:45","50165","52518"
"03.04.2021 18:45 - 03.04.2021 19:00","49684","52114"
"03.04.2021 19:00 - 03.04.2021 19:15","49055","51339"
"03.04.2021 19:15 - 03.04.2021 19:30","48413","50655"
"03.04.2021 19:30 - 03.04.2021 19:45","47857","50215"
"03.04.2021 19:45 - 03.04.2021 20:00","47560","49585"
"03.04.2021 20:00 - 03.04.2021 20:15","47763","49942"
"03.04.2021 20:15 - 03.04.2021 20:30","47364","49108"
"03.04.2021 20:30 - 03.04.2021 20:45","46480","48302"
"03.04.2021 20:45 - 03.04.2021 21:00","45846","47801"
"03.04.2021 21:00 - 03.04.2021 21:15","44881","46687"
"03.04.2021 21:15 - 03.04.2021 21:30","44162","45852"
"03.04.2021 21:30 - 03.04.2021 21:45","43638","45429"
"03.04.2021 21:45 - 03.04.2021 22:00","43084","44499"
"03.04.2021 22:00 - 03.04.2021 22:15","43004","43801"
"03.04.2021 22:15 - 03.04.2021 22:30","42596","42892"
"03.04.2021 22:30 - 03.04.2021 22:45","42292","42460"
"03.04.2021 22:45 - 03.04.2021 23:00","41981","42035"
"03.04.2021 23:00 - 03.04.2021 23:15","41318","41093"
"03.04.2021 23:15 - 03.04.2021 23:30","40653","40727"
"03.04.2021 23:30 - 03.04.2021 23:45","40489","40429"
"03.04.2021 23:45 - 04.04.2021 00:00","40258","40058"
"04.04.2021 00:00 - 04.04.2021 00:15","40023","39542"
"04.04.2021 00:15 - 04.04.2021 00:30","39754","39662"
"04.04.2021 00:30 - 04.04.2021 00:45","39709","39834"
"04.04.2021 00:45 - 04.04.2021 01:00","39732","39585"
"04.04.2021 01:00 - 04.04.2021 01:15","39422","39637"
"04.04.2021 01:15 - 04.04.2021 01:30","39418","39567"
"04.04.2021 01:30 - 04.04.2021 01:45","39374","39748"
"04.04.2021 01:45 - 04.04.2021 02:00","39487","39779"
"04.04.2021 02:00 - 04.04.2021 02:15","39377","39800"
"04.04.2021 02:15 - 04.04.2021 02:30","39614","39607"
"04.04.2021 02:30 - 04.04.2021 02:45","39453","39723"
"04.04.2021 02:45 - 04.04.2021 03:00","39546","39894"
"04.04.2021 03:00 - 04.04.2021 03:15","39609","40016"
"04.04.2021 03:15 - 04.04.2021 03:30","39556","40279"
"04.04.2021 03:30 - 04.04.2021 03:45","39256","40058"
"04.04.2021 03:45 - 04.04.2021 04:00","38994","40173"
"04.04.2021 04:00 - 04.04.2021 04:15","38271","40149"
"04.04.2021 04:15 - 04.04.2021 04:30","38637","40178"
"04.04.2021 04:30 - 04.04.2021 04:45","38095","40297"
"04.04.2021 04:45 - 04.04.2021 05:00","38428","40407"
"04.04.2021 05:00 - 04.04.2021 05:15","38238","40616"
"04.04.2021 05:15 - 04.04.2021 05:30","38548","41191"
"04.04.2021 05:30 - 04.04.2021 05:45","39060","41979"
"04.04.2021 05:45 - 04.04.2021 06:00","39186","42802"
"04.04.2021 06:00 - 04.04.2021 06:15","40475","43758"
"04.04.2021 06:15 - 04.04.2021 06:30","41355","44978"
"04.04.2021 06:30 - 04.04.2021 06:45","41879","45795"
"04.04.2021 06:45 - 04.04.2021 07:00","42918","46565"
"04.04.2021 07:00 - 04.04.2021 07:15","43834","47472"
"04.04.2021 07:15 - 04.04.2021 07:30","44709","48291"
"04.04.2021 07:30 - 04.04.2021 07:45","45443","49024"
"04.04.2021 07:45 - 04.04.2021 08:00","46158","49838"
"04.04.2021 08:00 - 04.04.2021 08:15","46601","50224"
"04.04.2021 08:15 - 04.04.2021 08:30","47148","50771"
"04.04.2021 08:30 - 04.04.2021 08:45","47699","51025"
"04.04.2021 08:45 - 04.04.2021 09:00","48712","51632"
"04.04.2021 09:00 - 04.04.2021 09:15","49663","52080"
"04.04.2021 09:15 - 04.04.2021 09:30","50455","52573"
"04.04.2021 09:30 - 04.04.2021 09:45","50865","52984"
"04.04.2021 09:45 - 04.04.2021 10:00","50846","53017"
"04.04.2021 10:00 - 04.04.2021 10:15","50284","52450"
"04.04.2021 10:15 - 04.04.2021 10:30","50376","51828"
"04.04.2021 10:30 - 04.04.2021 10:45","49951","51276"
"04.04.2021 10:45 - 04.04.2021 11:00","49750","50990"
"04.04.2021 11:00 - 04.04.2021 11:15","48852","50451"
"04.04.2021 11:15 - 04.04.2021 11:30","48248","49896"
"04.04.2021 11:30 - 04.04.2021 11:45","47715","49587"
"04.04.2021 11:45 - 04.04.2021 12:00","47224","49164"
"04.04.2021 12:00 - 04.04.2021 12:15","46591","48586"
"04.04.2021 12:15 - 04.04.2021 12:30","46240","48032"
"04.04.2021 12:30 - 04.04.2021 12:45","45918","47849"
"04.04.2021 12:45 - 04.04.2021 13:00","46001","47514"
"04.04.2021 13:00 - 04.04.2021 13:15","45743","47557"
"04.04.2021 13:15 - 04.04.2021 13:30","45271","47135"
"04.04.2021 13:30 - 04.04.2021 13:45","45245","46990"
"04.04.2021 13:45 - 04.04.2021 14:00","45641","46762"
"04.04.2021 14:00 - 04.04.2021 14:15","45631","46462"
"04.04.2021 14:15 - 04.04.2021 14:30","45636","46292"
"04.04.2021 14:30 - 04.04.2021 14:45","45473","46396"
"04.04.2021 14:45 - 04.04.2021 15:00","45812","46537"
"04.04.2021 15:00 - 04.04.2021 15:15","46464","46946"
"04.04.2021 15:15 - 04.04.2021 15:30","46686","47236"
"04.04.2021 15:30 - 04.04.2021 15:45","47214","47702"
"04.04.2021 15:45 - 04.04.2021 16:00","47705","47999"
"04.04.2021 16:00 - 04.04.2021 16:15","48228","48864"
"04.04.2021 16:15 - 04.04.2021 16:30","48585","48877"
"04.04.2021 16:30 - 04.04.2021 16:45","48944","49158"
"04.04.2021 16:45 - 04.04.2021 17:00","49114","49359"
"04.04.2021 17:00 - 04.04.2021 17:15","49694","49319"
"04.04.2021 17:15 - 04.04.2021 17:30","49216","49352"
"04.04.2021 17:30 - 04.04.2021 17:45","49784","49462"
"04.04.2021 17:45 - 04.04.2021 18:00","49508","49983"
"04.04.2021 18:00 - 04.04.2021 18:15","49361","50697"
"04.04.2021 18:15 - 04.04.2021 18:30","49223","51237"
"04.04.2021 18:30 - 04.04.2021 18:45","49110","51001"
"04.04.2021 18:45 - 04.04.2021 19:00","48789","50673"
"04.04.2021 19:00 - 04.04.2021 19:15","48177","50311"
"04.04.2021 19:15 - 04.04.2021 19:30","48087","49887"
"04.04.2021 19:30 - 04.04.2021 19:45","47898","49558"
"04.04.2021 19:45 - 04.04.2021 20:00","47935","49189"
"04.04.2021 20:00 - 04.04.2021 20:15","48082","49082"
"04.04.2021 20:15 - 04.04.2021 20:30","47714","48856"
"04.04.2021 20:30 - 04.04.2021 20:45","47533","48329"
"04.04.2021 20:45 - 04.04.2021 21:00","46720","47902"
"04.04.2021 21:00 - 04.04.2021 21:15","45978","46738"
"04.04.2021 21:15 - 04.04.2021 21:30","45183","46153"
"04.04.2021 21:30 - 04.04.2021 21:45","44589","45971"
"04.04.2021 21:45 - 04.04.2021 22:00","44149","45505"
"04.04.2021 22:00 - 04.04.2021 22:15","44746","44965"
"04.04.2021 22:15 - 04.04.2021 22:30","44530","44462"
"04.04.2021 22:30 - 04.04.2021 22:45","44217","44103"
"04.04.2021 22:45 - 04.04.2021 23:00","43731","43682"
"04.04.2021 23:00 - 04.04.2021 23:15","43022","43008"
"04.04.2021 23:15 - 04.04.2021 23:30","42173","42870"
"04.04.2021 23:30 - 04.04.2021 23:45","42239","42536"
"04.04.2021 23:45 - 05.04.2021 00:00","41717","42452"
"05.04.2021 00:00 - 05.04.2021 00:15","41306","42340"
"05.04.2021 00:15 - 05.04.2021 00:30","41317","42438"
"05.04.2021 00:30 - 05.04.2021 00:45","41098","42345"
"05.04.2021 00:45 - 05.04.2021 01:00","41116","42271"
"05.04.2021 01:00 - 05.04.2021 01:15","41074","42459"
"05.04.2021 01:15 - 05.04.2021 01:30","41105","42339"
"05.04.2021 01:30 - 05.04.2021 01:45","40945","42551"
"05.04.2021 01:45 - 05.04.2021 02:00","41164","42901"
"05.04.2021 02:00 - 05.04.2021 02:15","41165","42775"
"05.04.2021 02:15 - 05.04.2021 02:30","41526","42611"
"05.04.2021 02:30 - 05.04.2021 02:45","41370","42915"
"05.04.2021 02:45 - 05.04.2021 03:00","41616","42962"
"05.04.2021 03:00 - 05.04.2021 03:15","42032","43504"
"05.04.2021 03:15 - 05.04.2021 03:30","41888","43384"
"05.04.2021 03:30 - 05.04.2021 03:45","41879","43580"
"05.04.2021 03:45 - 05.04.2021 04:00","41714","43826"
"05.04.2021 04:00 - 05.04.2021 04:15","41370","43921"
"05.04.2021 04:15 - 05.04.2021 04:30","42139","44063"
"05.04.2021 04:30 - 05.04.2021 04:45","42195","44308"
"05.04.2021 04:45 - 05.04.2021 05:00","42523","44283"
"05.04.2021 05:00 - 05.04.2021 05:15","42818","44624"
"05.04.2021 05:15 - 05.04.2021 05:30","43421","45015"
"05.04.2021 05:30 - 05.04.2021 05:45","43848","45552"
"05.04.2021 05:45 - 05.04.2021 06:00","44054","46309"
"05.04.2021 06:00 - 05.04.2021 06:15","45024","47034"
"05.04.2021 06:15 - 05.04.2021 06:30","45591","47756"
"05.04.2021 06:30 - 05.04.2021 06:45","46545","48827"
"05.04.2021 06:45 - 05.04.2021 07:00","47496","49476"
"05.04.2021 07:00 - 05.04.2021 07:15","47906","50599"
"05.04.2021 07:15 - 05.04.2021 07:30","48774","51637"
"05.04.2021 07:30 - 05.04.2021 07:45","49719","52317"
"05.04.2021 07:45 - 05.04.2021 08:00","50129","53125"
"05.04.2021 08:00 - 05.04.2021 08:15","50650","53657"
"05.04.2021 08:15 - 05.04.2021 08:30","51209","54086"
"05.04.2021 08:30 - 05.04.2021 08:45","51619","54821"
"05.04.2021 08:45 - 05.04.2021 09:00","52496","55357"
"05.04.2021 09:00 - 05.04.2021 09:15","53093","55953"
"05.04.2021 09:15 - 05.04.2021 09:30","53915","56800"
"05.04.2021 09:30 - 05.04.2021 09:45","54457","57437"
"05.04.2021 09:45 - 05.04.2021 10:00","54574","57484"
"05.04.2021 10:00 - 05.04.2021 10:15","54397","57591"
"05.04.2021 10:15 - 05.04.2021 10:30","54406","57136"
"05.04.2021 10:30 - 05.04.2021 10:45","53685","56743"
"05.04.2021 10:45 - 05.04.2021 11:00","53515","56413"
"05.04.2021 11:00 - 05.04.2021 11:15","52330","55711"
"05.04.2021 11:15 - 05.04.2021 11:30","51574","55272"
"05.04.2021 11:30 - 05.04.2021 11:45","51113","55169"
"05.04.2021 11:45 - 05.04.2021 12:00","50445","54671"
"05.04.2021 12:00 - 05.04.2021 12:15","50064","54506"
"05.04.2021 12:15 - 05.04.2021 12:30","49351","54019"
"05.04.2021 12:30 - 05.04.2021 12:45","48967","53870"
"05.04.2021 12:45 - 05.04.2021 13:00","48894","54263"
"05.04.2021 13:00 - 05.04.2021 13:15","49011","54176"
"05.04.2021 13:15 - 05.04.2021 13:30","48640","53585"
"05.04.2021 13:30 - 05.04.2021 13:45","48429","53469"
"05.04.2021 13:45 - 05.04.2021 14:00","48494","52966"
"05.04.2021 14:00 - 05.04.2021 14:15","48857","53185"
"05.04.2021 14:15 - 05.04.2021 14:30","48681","53123"
"05.04.2021 14:30 - 05.04.2021 14:45","48442","52955"
"05.04.2021 14:45 - 05.04.2021 15:00","48799","53251"
"05.04.2021 15:00 - 05.04.2021 15:15","49296","54295"
"05.04.2021 15:15 - 05.04.2021 15:30","49859","54436"
"05.04.2021 15:30 - 05.04.2021 15:45","50474","54680"
"05.04.2021 15:45 - 05.04.2021 16:00","50934","55247"
"05.04.2021 16:00 - 05.04.2021 16:15","51467","56377"
"05.04.2021 16:15 - 05.04.2021 16:30","51463","56499"
"05.04.2021 16:30 - 05.04.2021 16:45","51999","56770"
"05.04.2021 16:45 - 05.04.2021 17:00","52131","56452"
"05.04.2021 17:00 - 05.04.2021 17:15","52382","56907"
"05.04.2021 17:15 - 05.04.2021 17:30","51958","56191"
