"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"02.01.2021 00:30 - 02.01.2021 00:45","41471","41386"
"02.01.2021 00:45 - 02.01.2021 01:00","41325","41007"
"02.01.2021 01:00 - 02.01.2021 01:15","41002","40745"
"02.01.2021 01:15 - 02.01.2021 01:30","40825","40620"
"02.01.2021 01:30 - 02.01.2021 01:45","40841","40501"
"02.01.2021 01:45 - 02.01.2021 02:00","40689","40478"
"02.01.2021 02:00 - 02.01.2021 02:15","40595","40296"
"02.01.2021 02:15 - 02.01.2021 02:30","40647","40324"
"02.01.2021 02:30 - 02.01.2021 02:45","40657","40579"
"02.01.2021 02:45 - 02.01.2021 03:00","40694","40600"
"02.01.2021 03:00 - 02.01.2021 03:15","40636","40894"
"02.01.2021 03:15 - 02.01.2021 03:30","40513","41052"
"02.01.2021 03:30 - 02.01.2021 03:45","40758","41192"
"02.01.2021 03:45 - 02.01.2021 04:00","40654","41244"
"02.01.2021 04:00 - 02.01.2021 04:15","40714","41513"
"02.01.2021 04:15 - 02.01.2021 04:30","40871","41290"
"02.01.2021 04:30 - 02.01.2021 04:45","41093","41488"
"02.01.2021 04:45 - 02.01.2021 05:00","41427","41821"
"02.01.2021 05:00 - 02.01.2021 05:15","41632","42310"
"02.01.2021 05:15 - 02.01.2021 05:30","42111","42553"
"02.01.2021 05:30 - 02.01.2021 05:45","42322","42877"
"02.01.2021 05:45 - 02.01.2021 06:00","42963","43087"
"02.01.2021 06:00 - 02.01.2021 06:15","43658","43753"
"02.01.2021 06:15 - 02.01.2021 06:30","44081","44244"
"02.01.2021 06:30 - 02.01.2021 06:45","45011","44624"
"02.01.2021 06:45 - 02.01.2021 07:00","46038","45200"
"02.01.2021 07:00 - 02.01.2021 07:15","47129","45718"
"02.01.2021 07:15 - 02.01.2021 07:30","47932","46439"
"02.01.2021 07:30 - 02.01.2021 07:45","48415","46881"
"02.01.2021 07:45 - 02.01.2021 08:00","49060","47554"
"02.01.2021 08:00 - 02.01.2021 08:15","50176","48554"
"02.01.2021 08:15 - 02.01.2021 08:30","51144","49346"
"02.01.2021 08:30 - 02.01.2021 08:45","51749","49965"
"02.01.2021 08:45 - 02.01.2021 09:00","52266","50480"
"02.01.2021 09:00 - 02.01.2021 09:15","52943","51097"
"02.01.2021 09:15 - 02.01.2021 09:30","53266","51730"
"02.01.2021 09:30 - 02.01.2021 09:45","53575","52325"
"02.01.2021 09:45 - 02.01.2021 10:00","53894","52642"
"02.01.2021 10:00 - 02.01.2021 10:15","54143","53274"
"02.01.2021 10:15 - 02.01.2021 10:30","54741","53900"
"02.01.2021 10:30 - 02.01.2021 10:45","54870","54252"
"02.01.2021 10:45 - 02.01.2021 11:00","54883","54464"
"02.01.2021 11:00 - 02.01.2021 11:15","54574","55029"
"02.01.2021 11:15 - 02.01.2021 11:30","54485","55022"
"02.01.2021 11:30 - 02.01.2021 11:45","54088","54994"
"02.01.2021 11:45 - 02.01.2021 12:00","53855","54739"
"02.01.2021 12:00 - 02.01.2021 12:15","53545","54505"
"02.01.2021 12:15 - 02.01.2021 12:30","53286","54167"
"02.01.2021 12:30 - 02.01.2021 12:45","53273","53905"
"02.01.2021 12:45 - 02.01.2021 13:00","52573","53599"
"02.01.2021 13:00 - 02.01.2021 13:15","52487","53227"
